ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result,Cluster,Cluster Name,Cluster Description
Student 1,Very Good,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Very Good,Excellent,3,1,2,2,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 2,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Poor,Poor,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 3,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Fair,Very Good,2,2,1,1,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 4,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Very Good,Fair,3,1,1,2,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 5,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Fair,Very Good,8,13,1,7,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 6,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Very Good,5,3,0,4,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 7,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Poor,Very Good,5,7,1,4,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 8,Fair,Medium,No,No,No,No,Yes,No,Low,Low,Fail,Fail,Adequate,Fair,Poor,1,7,2,0,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 9,Adequate,Medium,No,Yes,No,No,Yes,No,Medium,Low,Very Good,Very Good,Fail,Fair,Good,1,1,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 10,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Excellent,Excellent,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 11,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Good,Poor,Adequate,1,1,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 12,Adequate,Low,No,Yes,Yes,No,No,No,Medium,Low,Good,Good,Adequate,Excellent,Very Good,6,7,0,5,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 13,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Good,Adequate,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 14,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Poor,Good,3,0,1,2,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 15,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Fair,Fair,Good,Fair,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 16,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Fair,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 17,Excellent,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Good,1,0,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 18,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Good,1,6,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 19,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Adequate,Very Good,Good,1,4,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 20,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Excellent,Excellent,Very Good,Fair,Very Good,1,3,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 21,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Fair,Very Good,Fair,1,4,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 22,Excellent,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Good,Very Good,Very Good,1,5,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 23,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Good,Very Good,1,5,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 24,Adequate,Medium,No,No,No,No,Yes,No,Low,Medium,Fair,Fair,Fail,Excellent,Excellent,1,5,1,0,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 25,Poor,Medium,No,Yes,Yes,No,Yes,Yes,Low,Low,Very Good,Very Good,Good,Excellent,Very Good,1,2,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 26,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Good,Poor,2,0,2,1,Fail,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 27,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Excellent,1,0,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 28,Adequate,Low,No,No,No,No,No,No,Medium,Low,Excellent,Excellent,Adequate,Adequate,Adequate,1,1,0,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 29,Poor,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Very Good,Good,1,1,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 30,Adequate,Medium,No,No,No,No,Yes,No,High,Low,Adequate,Adequate,Fail,Very Good,Very Good,5,0,1,4,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 31,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Very Good,Very Good,Excellent,2,0,0,1,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 32,Excellent,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Excellent,Very Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 33,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Fair,1,0,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 34,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Adequate,1,0,1,0,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 35,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Good,Adequate,Good,2,0,0,1,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 36,Adequate,High,No,No,Yes,No,No,No,High,Low,Fair,Fair,Adequate,Excellent,Very Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 37,Adequate,Low,No,No,No,No,No,No,Medium,Low,Excellent,Excellent,Very Good,Good,Very Good,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 38,Adequate,Medium,No,No,Yes,No,Yes,No,Low,Low,Good,Good,Adequate,Very Good,Fair,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 39,Adequate,Medium,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Adequate,Fair,Very Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 40,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Very Good,Very Good,Very Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 41,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 42,Adequate,Low,No,No,No,No,Yes,Yes,High,Low,Adequate,Adequate,Fail,Excellent,Excellent,3,1,2,2,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 43,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Fair,Fair,Fail,Very Good,Excellent,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 44,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Poor,Good,2,2,1,1,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 45,Good,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Excellent,Very Good,3,1,1,2,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 46,Poor,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Good,Adequate,Adequate,8,13,1,7,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 47,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Good,Very Good,5,3,0,4,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 48,Adequate,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Very Good,Very Good,Very Good,5,7,1,4,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 49,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Very Good,Very Good,Adequate,Excellent,Very Good,1,7,2,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 50,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Adequate,Very Good,Excellent,1,1,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 51,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Adequate,Fair,Very Good,1,0,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 52,Good,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fair,Adequate,Poor,1,1,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 53,Excellent,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Very Good,Excellent,Adequate,6,7,1,5,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 54,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fair,Fair,Poor,1,0,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 55,Adequate,Low,No,No,No,No,Yes,No,High,Low,Very Good,Good,Fair,Good,Poor,3,0,1,2,Fail,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 56,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Very Good,Fair,Poor,1,0,1,0,Fail,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 57,Fair,Low,No,No,No,No,No,No,Medium,Low,Good,Fair,Fail,Good,Poor,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 58,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Fair,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 59,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Poor,1,6,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 60,Adequate,Low,No,No,Yes,No,Yes,No,High,Low,Fair,Fair,Good,Very Good,Good,1,4,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 61,Good,Low,No,No,No,No,No,No,Medium,Low,Excellent,Fair,Fair,Good,Fair,1,3,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 62,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Good,Excellent,Very Good,Very Good,1,4,0,0,Fail,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 63,Good,Low,No,No,No,No,No,No,High,Low,Very Good,Good,Fail,Good,Poor,1,5,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 64,Adequate,Low,No,No,No,No,Yes,No,High,Low,Fair,Very Good,Adequate,Good,Adequate,1,5,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 65,Good,Low,No,No,No,No,No,No,High,Low,Excellent,Very Good,Very Good,Excellent,Very Good,1,5,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 66,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fail,Fair,Fair,1,2,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 67,Very Good,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Excellent,Very Good,Excellent,2,0,2,1,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 68,Good,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Good,Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 69,Adequate,Low,No,No,No,No,Yes,No,High,Low,Very Good,Very Good,Fail,Good,Adequate,1,1,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 70,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Good,Fair,Fail,Good,Fair,1,1,0,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 71,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Good,Fail,Fair,Fair,5,0,1,4,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 72,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Fair,Fail,Good,Good,2,0,1,1,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 73,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Adequate,Fair,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 74,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Poor,Good,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 75,Good,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fail,Good,Fair,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 76,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Very Good,Fair,Good,2,0,0,1,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 77,Adequate,Low,No,No,Yes,No,Yes,Yes,High,Low,Fail,Fail,Excellent,Good,Poor,1,0,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 78,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Good,Fail,Poor,Good,1,0,0,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 79,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Good,Adequate,Good,Good,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 80,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Excellent,Adequate,Excellent,Fair,1,0,1,0,Fail,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 81,Adequate,Low,No,No,Yes,No,No,No,High,Low,Adequate,Fair,Adequate,Good,Fair,1,0,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 82,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fair,Very Good,Fail,Fair,Good,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 83,Fair,Low,No,No,No,No,No,No,High,Low,Good,Adequate,Adequate,Good,Good,3,1,2,2,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 84,Excellent,Low,No,No,No,No,No,No,High,Low,Very Good,Excellent,Fair,Good,Fair,1,0,1,0,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 85,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Good,Fail,Good,Fair,2,2,1,1,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 86,Very Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Fail,Very Good,Adequate,3,1,1,2,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 87,Fair,Low,No,No,No,Yes,No,No,Medium,Low,Fair,Good,Fail,Good,Fair,8,13,0,7,Fail,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 88,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Very Good,Fail,Good,Very Good,5,3,0,4,Pass,2,âŒ The Disengaged,Barely active â€“ minimal interaction across the board. Need targeted intervention or re-engagement.
Student 89,Adequate,Low,No,No,No,Yes,No,No,Medium,Low,Good,Very Good,Fail,Very Good,Adequate,5,7,1,4,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 90,Fair,Low,No,Yes,No,No,Yes,No,Medium,Low,Fail,Fail,Very Good,Good,Fair,1,7,2,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 91,Adequate,High,No,Yes,Yes,No,Yes,No,Low,Low,Fail,Fail,Very Good,Fair,Very Good,1,1,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 92,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Very Good,Good,Very Good,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 93,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Poor,Poor,1,1,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 94,Good,Medium,No,No,No,No,Yes,No,High,Low,Fail,Fail,Good,Poor,Good,6,7,0,5,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 95,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Poor,Poor,1,0,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 96,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Good,Good,3,0,1,2,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 97,Good,Low,No,Yes,No,No,Yes,No,High,Low,Fail,Fail,Good,Very Good,Good,1,0,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 98,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Poor,1,0,0,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 99,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fair,Excellent,Very Good,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
Student 100,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Poor,1,6,1,0,Fail,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 101,Fair,Low,No,No,Yes,No,Yes,No,High,Low,Fail,Fail,Fair,Good,Fair,1,4,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 102,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Good,1,3,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 103,Good,Medium,No,No,No,No,Yes,No,High,Low,Fail,Fail,Fair,Fair,Adequate,1,4,1,0,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 104,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Very Good,1,5,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 105,Good,Low,No,No,No,No,Yes,No,High,Low,Fail,Fail,Fair,Poor,Excellent,1,5,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 106,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Excellent,1,5,1,0,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 107,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Very Good,1,2,1,0,Pass,3,ğŸ‘» The Silent Observers,"Present, but almost invisible â€“ low likes and segment engagement. They view but rarely interact."
Student 108,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Good,Good,2,0,2,1,Pass,1,â­ The Enthusiasts,"Highly active across all content â€“ they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 109,Excellent,Medium,No,Yes,No,No,Yes,No,Medium,Low,Fail,Fail,Fair,Very Good,Very Good,1,0,1,0,Pass,0,ğŸ“š The Steady Learners,Moderate engagement â€“ they interact consistently but not intensely. Theyâ€™re balanced and reliable.
